origin_dist,dest_dist,obs,gan,diff,pct_diff
4,15,5,5.1249523,0.12495231628417969,0.02499046325683594
4,23,4,1.0547795,-2.945220470428467,-0.7363051176071167
4,24,12,7.093847,-4.906153202056885,-0.40884610017140705
4,25,3,8.560582,5.560582160949707,1.8535273869832356
4,28,1,0.23547544,-0.7645245641469955,-0.7645245641469955
5,1,48,35.67681,-12.323188781738281,-0.25673309961954754
5,2,7,6.074512,-0.9254879951477051,-0.13221257073538645
5,3,45,42.36403,-2.6359710693359375,-0.05857713487413194
5,4,13,10.881996,-2.1180038452148438,-0.16292337270883414
5,5,307,324.6858,17.685791015625,0.05760843979030945
5,6,1,0.7857682,-0.21423178911209106,-0.21423178911209106
5,7,24,11.699662,-12.300337791442871,-0.512514074643453
5,8,9,5.4962087,-3.503791332244873,-0.3893101480272081
5,9,50,35.198975,-14.801025390625,-0.2960205078125
5,10,23,22.598942,-0.4010581970214844,-0.01743731291397758
5,11,4,3.2224803,-0.777519702911377,-0.19437992572784424
5,12,41,42.97682,1.9768218994140625,0.04821516827839177
5,13,2,1.58832,-0.4116799831390381,-0.20583999156951904
5,14,105,100.68314,-4.316856384277344,-0.04111291794549851
5,15,10,6.5340843,-3.4659156799316406,-0.34659156799316404
5,16,6,3.077282,-2.922718048095703,-0.4871196746826172
5,22,1,0.13678071,-0.863219290971756,-0.863219290971756
5,23,3,2.158763,-0.8412370681762695,-0.28041235605875653
5,24,46,50.888386,4.888385772705078,0.10626925592837126
5,25,74,110.886055,36.88605499267578,0.49846020260372675
5,26,6,4.9206657,-1.0793342590332031,-0.17988904317220053
5,27,2,3.7850385,1.7850384712219238,0.8925192356109619
6,1,60,51.356907,-8.64309310913086,-0.14405155181884766
6,2,1,2.153984,1.1539840698242188,1.1539840698242188
6,3,109,115.11328,6.11328125,0.05608514908256881
6,4,49,51.772114,2.772113800048828,0.056573751021404654
6,5,3,10.314762,7.314762115478516,2.4382540384928384
6,6,138,111.06396,-26.93604278564453,-0.19518871583800385
6,7,7,6.0550923,-0.9449076652526855,-0.13498680932181223
6,8,35,63.419228,28.419227600097656,0.8119779314313617
6,9,147,126.51654,-20.48345947265625,-0.13934326171875
6,10,4,5.004952,1.0049519538879395,0.25123798847198486
6,11,1,0.82618386,-0.17381614446640015,-0.17381614446640015
6,13,2,1.5185741,-0.4814258813858032,-0.2407129406929016
6,14,4,3.3861606,-0.6138393878936768,-0.1534598469734192
6,15,22,12.917537,-9.082463264465332,-0.4128392392938787
6,16,1,2.1381996,1.1381995677947998,1.1381995677947998
6,18,2,1.1375195,-0.8624805212020874,-0.4312402606010437
6,23,4,7.4495964,3.449596405029297,0.8623991012573242
6,24,8,10.601538,2.6015377044677734,0.3251922130584717
6,25,5,14.095918,9.095917701721191,1.8191835403442382
6,27,1,1.2795581,0.27955806255340576,0.27955806255340576
7,3,2,9.661708,7.661707878112793,3.8308539390563965
7,7,34,6.5383196,-27.46168041229248,-0.8076964827144847
7,8,1,0.6535663,-0.34643369913101196,-0.34643369913101196
7,9,1,1.4078599,0.4078599214553833,0.4078599214553833
7,24,3,3.069755,0.06975507736206055,0.023251692454020183
7,25,2,15.645474,13.645474433898926,6.822737216949463
8,1,52,45.624924,-6.3750762939453125,-0.12259762103740986
8,2,4,3.1481225,-0.8518774509429932,-0.2129693627357483
8,3,28,40.19147,12.191471099853516,0.43540968213762554
8,4,66,57.57575,-8.424251556396484,-0.12764017509691644
8,5,11,8.099403,-2.9005966186523438,-0.2636906016956676
8,6,16,14.023857,-1.9761428833007812,-0.12350893020629883
8,7,7,2.7022433,-4.297756671905518,-0.6139652388436454
8,8,223,200.39417,-22.6058349609375,-0.10137145722393498
8,9,42,53.442455,11.442455291748047,0.27243941170828684
8,10,1,6.3114223,5.311422348022461,5.311422348022461
8,11,1,0.7279599,-0.27204012870788574,-0.27204012870788574
8,12,1,3.7504597,2.750459671020508,2.750459671020508
8,13,5,4.928321,-0.07167911529541016,-0.014335823059082032
8,14,14,6.3489385,-7.651061534881592,-0.5465043953486851
8,15,7,10.567172,3.567172050476074,0.5095960072108677
8,16,5,3.6763487,-1.3236513137817383,-0.26473026275634765
8,23,4,1.3630294,-2.636970639228821,-0.6592426598072052
8,24,9,20.099928,11.09992790222168,1.2333253224690754
8,25,9,21.17072,12.170719146728516,1.3523021274142795
8,26,1,0.6315404,-0.3684595823287964,-0.3684595823287964
8,27,1,1.4932339,0.49323391914367676,0.49323391914367676
9,1,23,13.384836,-9.615163803100586,-0.4180506001348081
9,2,5,3.17024,-1.8297600746154785,-0.3659520149230957
9,3,99,82.063995,-16.936004638671875,-0.17107075392597854
9,4,7,4.8906207,-2.109379291534424,-0.301339898790632
9,5,7,7.2620625,0.26206254959106445,0.03743750708443778
9,6,23,8.559323,-14.44067668914795,-0.6278555082238239
9,7,19,7.139175,-11.860825061798096,-0.6242539506209525
9,8,9,11.38996,2.389960289001465,0.265551143222385
9,9,359,400.90063,41.900634765625,0.11671486007137884
9,10,8,6.0757074,-1.9242925643920898,-0.24053657054901123
9,11,3,2.565639,-0.43436098098754883,-0.14478699366251627
9,12,4,3.5299056,-0.4700944423675537,-0.11752361059188843
9,13,1,0.42317826,-0.5768217444419861,-0.5768217444419861
9,14,3,2.1049192,-0.8950808048248291,-0.29836026827494305
9,15,44,81.51421,37.51421356201172,0.8525957627729936
9,18,1,0.318619,-0.6813809871673584,-0.6813809871673584
9,23,25,21.338528,-3.6614723205566406,-0.14645889282226562
9,24,24,3.6011355,-20.39886450767517,-0.8499526878197988
9,25,5,6.7054896,1.7054896354675293,0.34109792709350584
9,26,4,1.0356773,-2.9643226861953735,-0.7410806715488434
10,1,38,28.878014,-9.121986389160156,-0.2400522733989515
10,2,22,19.211765,-2.7882347106933594,-0.1267379413951527
10,3,59,32.397827,-26.6021728515625,-0.4508842856197034
10,4,14,7.542808,-6.4571919441223145,-0.46122799600873676
10,5,62,74.82043,12.820426940917969,0.2067810796922253
10,6,2,0.9703351,-1.0296648740768433,-0.5148324370384216
10,7,2,2.8351588,0.8351588249206543,0.41757941246032715
10,8,17,26.543736,9.54373550415039,0.5613962061264935
10,9,50,46.60703,-3.3929710388183594,-0.06785942077636718
10,10,126,165.38152,39.38151550292969,0.31255171034071183
10,12,14,8.79382,-5.206179618835449,-0.37186997277396067
10,13,3,0.6491958,-2.3508042097091675,-0.7836014032363892
10,14,33,28.306244,-4.693756103515625,-0.14223503343986743
10,15,7,11.054088,4.0540876388549805,0.5791553769792829
10,16,15,44.675465,29.675464630126953,1.9783643086751301
10,19,1,0.004425424,-0.9955745758488774,-0.9955745758488774
10,23,9,5.220303,-3.7796969413757324,-0.41996632681952584
