"TAZ","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_transit_attr","access_employment_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_transit","access_employment_sov"
964,2244.40,506.6,1.79394,2244.40,269,12.1551,8.74485,0.00,2.10778,11.3401
965,392,90.4,0.500284,392,45,12.0848,8.58487,0.00,0.482231,11.3086
966,0.00,0.00,0.00,0.00,0.00,11.5772,7.73579,0.00,0.00,11.0479
967,5790.80,1213.70,0.155399,5790.80,719,12.4848,9.41552,0.963475,3.60083,11.4945
968,5132.30,942.6,0.034391,5132.30,1358.00,12.5666,9.57656,0.802087,3.16501,11.5373
969,2960.80,641.7,0.0962858,2960.80,224,12.7771,10.4098,1.58756,4.40489,11.5953
970,0.00,0.00,0.00,0.00,0.00,12.3312,9.06466,0.00,2.11626,11.4365
971,2367.50,537,2.26404,2367.50,137,12.6271,9.84297,1.97063,3.84261,11.5448
972,4676.80,1000.20,0.110966,4676.80,540,12.7465,10.3554,1.74729,4.08339,11.5835
973,423.6,109.8,0.845647,423.6,6,12.498,9.52271,2.00939,3.79603,11.4983
974,1142.40,286,1.91441,1142.40,39,12.4419,9.40457,1.78686,3.34646,11.4679
975,798,198.3,1.30557,798,38,12.3979,9.23674,0.230952,2.75215,11.4499
976,1836.80,412.6,0.954419,1836.80,134,12.7244,10.17,2.04252,3.92859,11.5802
977,400.3,100.4,0.899864,400.3,18,12.5674,9.71097,2.15293,3.85548,11.527
978,374.4,89.4,0.478787,374.4,33,12.1027,8.64517,0.00,0.909472,11.3132
979,1929.00,456.1,2.06011,1929.00,106,12.5429,9.77883,2.12694,3.68008,11.5112
980,983.4,258.5,2.03372,983.4,1,12.4381,9.59647,1.92393,3.58992,11.4642
981,2984.20,652.5,0.0948104,2984.20,189,12.6098,9.84295,0.76923,3.34602,11.5285
982,3833.30,830.3,3.01607,3833.30,577,12.2507,9.12448,1.27824,2.93014,11.3724
983,40.8,9,0.0546825,40.8,6,12.4098,9.41331,0.00,2.89275,11.4385
984,10953.60,2345.00,0.00331708,10953.60,1955.00,12.4289,10.0385,0.870838,3.02601,11.4242
985,4237.90,936.9,2.53175,4237.90,567,12.3587,9.52382,1.36562,3.01478,11.4006
986,2777.60,591.2,0.00,2777.60,509,12.4175,9.64295,0.843071,3.32649,11.4254
987,4046.20,823.3,0.0618916,4046.20,718,12.531,10.5879,1.19689,3.15009,11.4497
