"TAZ","Type","HH","HH_POP","GQPop","Median_Inc","Pct_Worker","Pct_Child","Pct_Senior","HHOF1","HHOF2","HHOF3","HHOF4","HHOF5","HHOF6","HHOF7","Elem","High","College","StudGQ_UNR","StudOff_UNR","BuildingS_UNR","NAICS11","NAICS21","NAICS22","NAICS23","NAICS31","NAICS32","NAICS33","NAICS42","NAICS44","NAICS45","NAICS48","NAICS49","NAICS51","NAICS52","NAICS53","NAICS54","NAICS55","NAICS56","NAICS61","NAICS62","NAICS71","NAICS72","NAICS81","NAICS92","NAICS99","HotelRms","AWDT","IEEI_Distance","PCT_AUTO_EE","PCT_AUTO_IEEI","PCT_TRK_EE","PCT_TRK_IEEI","Industry","Office","Service_RateHigh","Service_RateLow","Retail","K12","PctHighPay","Enplanements","TotalEmp","Density","AreaType","ATSmoothed","EmpDensity","Cluster","ClusterName","Industry_EL","Industry_EH","Office_EL","Office_EH","Retail_EL","Retail_EH","Service_RateLow_EL","Service_RateLow_EH","Service_RateHigh_EL","Service_RateHigh_EH","walkability_attr","gs_home_attr","gs_work_attr","gs_other_attr","gs_total_attr","GSIndex","ApproachDensity","walk_attr_dens","IndEmpDensity","ApproachDensity_z","IndEmpDensity_z","walk_attr_dens_z","GSIndex_z","Walkability","wHH","wK12","wCollege","wRetail","wTotalEmp","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_transit_attr","access_employment_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_transit","access_employment_sov","PctNearBusStop","PKTNCWait","OPTNCWait","AirportProd"
614,"Internal",138,347,0.00,90071.00,42.6513,23.9193,33.4294,18,74,9,33,3,0.00,1,0.00,0.00,0.00,,8,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,160,5,25,26,0.00,0.00,0.00,,,,,,,0.00,0.00,34.7,159.3,25,0.00,52.6316,0,219,1744.66,"Suburban",1,553.054,6,"NWReno-Skyline",0.00,0.00,0.00,0.00,11.8421,13.1579,75.4579,83.8421,16.4368,18.2632,1816.10,897,328.5,1487.60,2713.10,0.575396,0.00,6851.56,0.00,-0.362952,-0.294607,-0.155697,1.35273,0.131347,18.1259,0.00,0.00,3.28367,28.765,1816.10,404.3,0.704349,1816.10,219,12.4214,9.20712,1.65544,2.6932,11.3895,0.277586,9.52425,6.02425,5.00592
615,"Internal",132,287,0.00,100938.00,50.8711,20.9059,28.223,41,51,22,14,3,0.00,1,635,0.00,0.00,,9,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,34.4,51.6,0.00,635,45.0082,0,86,4540.89,"Suburban",1,925.327,6,"NWReno-Skyline",0.00,0.00,0.00,0.00,0.00,0.00,28.3758,23.2242,18.9172,15.4828,1684.90,858,1081.50,603.4,2542.90,0.648967,0.00,27360.62,0.00,-0.362952,-0.294607,-0.110697,1.99735,0.142166,18.766,90.2757,0.00,0.00,12.2263,1684.90,169.2,1.16792,1684.90,86,12.2014,8.82454,1.83417,2.48668,11.2721,0.00895323,10.3701,6.87014,2.86747
616,"Internal",92,175,130,90071.00,28.5714,5.14286,66.2857,54,17,7,6,7,0.00,1,0.00,0.00,0.00,,5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138,0.00,0.00,2,0.00,0.00,0.00,,,,,,,0.00,0.00,27.6,112.4,0.00,0.00,37.9845,0,140,6750.16,"Suburban",1,2393.57,6,"NWReno-Skyline",0.00,0.00,0.00,0.00,0.00,0.00,69.7054,42.6946,17.1163,10.4837,958.8,598,210,748.8,1556.80,0.602907,0.00,26616.49,0.00,-0.362952,-0.294607,-0.11233,1.59377,0.136036,12.5153,0.00,0.00,0.00,19.045,958.8,214,0.469861,958.8,140,12.6035,9.75505,2.58414,3.84832,11.4588,0.507271,8.8863,5.3863,2.40331
617,"Internal",48,97,0.00,103839.00,47.4227,15.4639,37.1134,14,28,1,3,0.00,2,0.00,0.00,0.00,0.00,,4,,0.00,0.00,0.00,0.00,0.00,0.00,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,8,0.00,0.00,0.00,0.00,0.00,71.4286,0,8,2284.13,"Suburban",1,166.784,6,"NWReno-Skyline",2.28571,5.71429,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.2,312,12,103.2,427.2,0.407461,0.00,8906.26,166.784,-0.362952,-0.148918,-0.151189,-0.118685,0.111715,5.36231,0.00,0.00,0.00,0.893719,115.2,28,0.201317,115.2,8,12.2327,8.8467,1.3662,0.603467,11.2945,0.00,10.2444,6.74441,0.70369
618,"Internal",318,747,0.00,103839.00,51.8072,17.2691,30.9237,115,87,53,28,24,10,1,0.00,0.00,0.00,,16,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,0.00,2,0.00,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,1,3,0.00,4,0.00,0.00,33.3333,0,8,5991.24,"Suburban",1,63.1021,6,"NWReno-Skyline",0.666667,0.333333,2,1,0.00,0.00,2.66667,1.33333,0.00,0.00,638.6,2067.00,12,634.4,2713.40,0.365016,0.00,21402.66,7.88776,-0.362952,-0.287717,-0.12377,-0.490583,0.107766,34.2695,0.00,0.00,0.00,0.862125,638.6,165.8,1.28658,638.6,8,12.2858,8.98588,1.99759,2.99813,11.3159,0.354076,10.0353,6.53528,4.90027
619,"Internal",286,734,0.00,160938.00,56.267,20.5722,23.1608,44,129,54,36,15,5,3,0.00,0.00,0.00,,19,,0.00,0.00,0.00,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,1,0.00,57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,4.5,60.5,0.00,1,0.00,0.00,32.4324,0,66,2687.78,"Suburban",1,211.78,6,"NWReno-Skyline",3.04054,1.45946,40.8784,19.6216,0.00,0.00,0.675676,0.324324,0.00,0.00,744,1859.00,99,802.3,2760.30,0.46066,22.4616,8857.23,14.4396,-0.223086,-0.281994,-0.151297,0.347436,0.12004,34.3316,0.00,0.00,0.00,7.92267,744,176.7,1.28891,744,66,11.9411,8.31924,1.3519,0.00,11.1572,0.00,11.4859,7.98591,5.86348
620,"Internal",191,434,0.00,103839.00,47.9263,28.1106,23.9631,67,59,27,24,12,2,0.00,0.00,0.00,0.00,,9,,11,0.00,0.00,30,0.00,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,2,1,10,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,29,21,0.00,13,0.00,0.00,72.7273,0,63,3478.56,"Suburban",1,411.225,6,"NWReno-Skyline",7.90909,21.0909,5.72727,15.2727,0.00,0.00,3.54545,9.45455,0.00,0.00,585.7,1241.50,94.5,545.8,1881.80,0.478096,0.00,12283.23,189.294,-0.362952,-0.129255,-0.14378,0.500207,0.119869,22.8949,0.00,0.00,0.00,7.55172,585.7,136.1,0.859543,585.7,63,12.3285,9.05188,1.71923,1.69756,11.3395,0.00,9.87088,6.37088,3.56164
621,"Internal",177,446,0.00,172105.00,51.7937,21.3004,26.9058,42,66,34,17,7,10,1,0.00,0.00,0.00,,11,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,5,0.00,0.00,0.00,0.00,0.00,0,5,2256.52,"Suburban",1,24.8597,6,"NWReno-Skyline",0.00,0.00,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,351.3,1150.50,7.5,356.8,1514.80,0.367645,14.9158,7531.49,0.00,-0.270073,-0.294607,-0.154206,-0.467543,0.10881,19.2593,0.00,0.00,0.00,0.544049,351.3,91,0.723053,351.3,5,11.9944,8.38743,1.69366,0.324602,11.1808,0.00,11.2469,7.74688,2.9162
622,"Internal",322,803,14,172105.00,50.0623,20.1743,29.7634,64,144,40,48,17,9,0.00,0.00,0.00,0.00,,25,,0.00,0.00,0.00,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,8,2,1,0.00,0.00,0.00,17,3,18,16,0.00,0.00,0.00,,,,,,,5,5,4.3,43.7,18,0.00,18.6441,0,76,2268.85,"Suburban",1,186.953,6,"NWReno-Skyline",4.0678,0.932203,4.0678,0.932203,14.6441,3.35593,35.5525,8.14746,3.49831,0.801695,1247.20,2093.00,114,1146.20,3353.20,0.492401,0.00,8248.58,12.2996,-0.362952,-0.283863,-0.152632,0.625541,0.121323,39.066,0.00,0.00,2.18382,9.22055,1247.20,297.4,1.48252,1247.20,76,12.1581,8.67278,1.38854,0.311923,11.2629,0.00,10.5467,7.04671,5.69773
623,"Internal",370,894,0.00,113417.00,49.5526,19.9105,30.5369,86,153,49,60,18,3,1,0.00,0.00,0.00,,19,,0.00,0.00,0.00,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,0.00,20,0.00,0.00,6,0.00,2,10,1,0.00,0.00,0.00,,,,,,,9,9,3,31,10,0.00,32.5,0,62,2965.68,"Suburban",1,185.477,6,"NWReno-Skyline",6.075,2.925,6.075,2.925,6.75,3.25,20.925,10.075,2.025,0.975,1134.40,2405.00,93,1064.80,3562.80,0.454331,17.9494,10658.35,26.9241,-0.251183,-0.271088,-0.147345,0.29198,0.118925,44.0022,0.00,0.00,1.18925,7.37333,1134.40,275.8,1.66061,1134.40,62,12.325,9.05771,1.62504,1.84398,11.3472,0.00,9.88424,6.38424,6.2355
624,"Internal",207,480,0.00,90071.00,49.375,20.8333,29.7917,51,106,14,19,8,4,5,0.00,0.00,0.00,,20,,3,0.00,0.00,17,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,13.5,8.5,0.00,8,0.00,0.00,63.6364,0,30,2606.21,"Suburban",1,148.332,6,"NWReno-Skyline",4.90909,8.59091,3.09091,5.40909,0.00,0.00,2.90909,5.09091,0.00,0.00,504.1,1345.50,45,481.2,1871.70,0.416558,34.6108,9254.44,66.7494,-0.147434,-0.2363,-0.150425,-0.038978,0.116267,24.0672,0.00,0.00,0.00,3.488,504.1,124.1,0.903555,504.1,30,12.2688,8.95764,1.4437,1.92101,11.3223,0.00,10.1017,6.60168,3.43815
