"TAZ","Type","HH","HH_POP","GQPop","Median_Inc","Pct_Worker","Pct_Child","Pct_Senior","HHOF1","HHOF2","HHOF3","HHOF4","HHOF5","HHOF6","HHOF7","Elem","High","College","StudGQ_UNR","StudOff_UNR","BuildingS_UNR","NAICS11","NAICS21","NAICS22","NAICS23","NAICS31","NAICS32","NAICS33","NAICS42","NAICS44","NAICS45","NAICS48","NAICS49","NAICS51","NAICS52","NAICS53","NAICS54","NAICS55","NAICS56","NAICS61","NAICS62","NAICS71","NAICS72","NAICS81","NAICS92","NAICS99","HotelRms","AWDT","IEEI_Distance","PCT_AUTO_EE","PCT_AUTO_IEEI","PCT_TRK_EE","PCT_TRK_IEEI","Industry","Office","Service_RateHigh","Service_RateLow","Retail","K12","PctHighPay","Enplanements"
127,"Internal",17,19,0.00,45625.00,78.9474,10.5263,10.5263,15,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1,,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,79,,,,,,,0.5,0.5,0.00,2,0.00,0.00,45.0082,0
128,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85,440,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,25.5,59.5,440,0.00,29.085,0
129,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,15,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.6,1.4,15,0.00,58.3333,0
130,"Internal",0.00,0.00,24,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,45.0082,0
131,"Internal",81,171,0.00,22146.00,81.8713,10.5263,7.60234,23,39,11,4,3,1,0.00,0.00,0.00,0.00,,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,0.00,1,9,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,11,7,0.00,50,0
132,"Internal",82,168,4,52892.00,82.7381,2.97619,14.2857,38,28,3,8,1,0.00,4,215,0.00,0.00,,5,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,6,0.00,0.00,29,5,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,12.6,30.4,0.00,215,51.5152,0
133,"Internal",1,2,0.00,47273.00,100,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,7,36,5,0.00,0.00,201,,,,,,,2,0.00,2.1,10.9,36,0.00,31.1111,0
134,"Internal",1,2,50,90071.00,100,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63,329,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,18.9,44.1,329,0.00,37.6147,0
135,"Internal",35,38,0.00,22146.00,71.0526,15.7895,13.1579,32,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40,39,3,0.00,3,0.00,0.00,16,84,6,0.00,0.00,0.00,,,,,,,0.00,3,4.8,99.2,84,0.00,45.5128,0
136,"Internal",10,34,6,40313.00,67.6471,26.4706,5.88235,0.00,3,0.00,7,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,41,17,1,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,5,0.00,0.00,0.00,0.00,0.00,13,64,26,88,0.00,0.00,,,,,,,40.5,108.5,3.9,40.1,64,0.00,64.3617,0
