avg_size,siz1,siz2,siz3,siz4
3.19,0.1642,0.2858,0.1928,0.3572
3.2,0.1644,0.2847,0.1928,0.3581
3.21,0.1646,0.2835,0.1928,0.3591
3.22,0.1649,0.2824,0.1927,0.36
3.23,0.1652,0.2813,0.1926,0.3609
3.24,0.1655,0.2802,0.1925,0.3618
3.25,0.1659,0.2791,0.1924,0.3626
3.26,0.1663,0.2781,0.1923,0.3633
3.27,0.1668,0.277,0.1921,0.3641
3.28,0.1673,0.276,0.192,0.3647
3.29,0.1678,0.2749,0.1918,0.3655
3.3,0.1683,0.2739,0.1916,0.3662
3.31,0.1689,0.2729,0.1914,0.3668
3.32,0.1695,0.2719,0.1912,0.3674
3.33,0.1702,0.271,0.191,0.3678
3.34,0.1708,0.27,0.1907,0.3685
3.35,0.1716,0.2691,0.1904,0.3689
3.36,0.1723,0.2681,0.1902,0.3694
3.37,0.1731,0.2672,0.1899,0.3698
3.38,0.1739,0.2663,0.1895,0.3703
3.39,0.1748,0.2655,0.1892,0.3705
3.4,0.1757,0.2646,0.1888,0.3709
3.41,0.1766,0.2638,0.1885,0.3711
3.42,0.1775,0.263,0.1881,0.3714
3.43,0.1785,0.2622,0.1877,0.3716
3.44,0.1795,0.2614,0.1872,0.3719
3.45,0.1806,0.2606,0.1868,0.372
3.46,0.1817,0.2599,0.1863,0.3721
3.47,0.1828,0.2592,0.1859,0.3721
3.48,0.184,0.2585,0.1854,0.3721
3.49,0.1852,0.2578,0.1849,0.3721
3.5,0.1864,0.2572,0.1843,0.3721
